instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,zoom_in,0,0,0,0,0,1,1,1,1,1,0.5316693782806396,0.7058435380458832,0.6903728644053141,0.6669426361719767,0.8406945466995239,0.7265584766864777,1,0,0.3090251684188843,0.0
2,zoom_in,0,0,0,0,0,1,1,1,1,1,0.48174892365932465,0.6902024149894714,0.661291261514028,0.6388774712880453,0.8016288578510284,0.6934939324855804,1,0,0.3198799341917038,0.0
3,zoom_in,0,0,0,0,0,1,1,1,1,1,0.4829232692718506,0.6910755336284637,0.6085148652394613,0.648964544137319,0.7498908340930939,0.7183987498283386,1,0,0.2669675648212433,0.0
4,zoom_in,0,0,0,0,0,1,1,1,1,1,0.4674772173166275,0.7139984667301178,0.6168806552886963,0.662900447845459,0.7814476788043976,0.7421436011791229,1,0,0.3139704614877701,0.0
5,zoom_in,0,0,0,0,0,1,1,1,1,1,0.4493410736322403,0.7105359733104706,0.5990336736043295,0.6190382838249207,0.8033880293369293,0.6856638193130493,1,0,0.354046955704689,0.0
