instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,rotate_up,0,0,0,0,0,1,1,1,0,0,0.7811776697635651,0.8736841976642609,0.7833096583684286,0.8256958921750387,0.8723877370357513,0.8188506066799164,1,0,0.09121006727218628,0.0
2,rotate_up,0,0,0,0,0,1,1,1,0,0,0.6935516595840454,0.8668844699859619,0.8462366461753845,0.8386855324109396,0.9706060290336609,0.8278042376041412,1,0,0.2770543694496155,0.0
3,rotate_up,0,0,0,0,0,1,1,1,0,0,0.7108999192714691,0.8526736497879028,0.873344878355662,0.8332927425702413,0.9185669422149658,0.8355277478694916,1,0,0.2076670229434967,0.0
4,rotate_up,0,0,0,0,0,1,1,1,0,0,0.6918236911296844,0.8557591736316681,0.7973796923955282,0.8461904525756836,0.9232461154460907,0.8333865404129028,1,0,0.23142242431640625,0.0
5,rotate_up,0,0,0,0,0,1,1,1,0,0,0.7047432661056519,0.7339386343955994,0.7568257053693136,0.7509568929672241,0.9193520545959473,0.774921178817749,1,0,0.2146087884902954,0.0
