instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,zoom_in,0,0,0,0,0,0,1,1,1,1,0.5240919291973114,1.0156883001327515,0.6553903023401896,0.9670914808909098,0.7097310125827789,0.9666146636009216,1,0,0.18563908338546753,0.0
2,zoom_in,0,0,0,0,0,0,1,1,1,1,0.5817039608955383,0.9481489956378937,0.7311926881472269,0.9275352756182352,0.7948235869407654,0.9322990775108337,1,0,0.21311962604522705,0.0
3,zoom_in,0,0,0,0,0,0,1,1,1,1,0.5238686800003052,0.9444757401943207,0.7449522614479065,0.900653084119161,0.7827273309230804,0.9115330278873444,1,0,0.25885865092277527,0.0
4,zoom_in,0,0,0,0,0,0,1,1,1,1,0.5761995315551758,0.8810568451881409,0.7338937520980835,0.8314911723136902,0.8220922946929932,0.8596809506416321,1,0,0.24589276313781738,0.0
5,zoom_in,0,0,0,0,0,0,1,1,1,1,0.5337924659252167,0.8905909955501556,0.6422474582990011,0.8741559187571207,0.7561919987201691,0.8819071054458618,1,0,0.2223995327949524,0.0
