instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,zoom_out_slide,0,0,0,0,0,1,1,1,1,0,0.7364561855792999,0.7630699574947357,0.769231935342153,0.7539610266685486,0.8620323538780212,0.7814214527606964,1,0,0.1255761682987213,0.0
2,zoom_out_slide,0,0,0,0,0,1,1,1,0,0,0.6702882349491119,0.8032917082309723,0.7897814313570658,0.7882407307624817,0.8230654895305634,0.8005013763904572,1,0,0.15277725458145142,0.0
3,zoom_out_slide,0,0,0,0,0,1,1,1,0,0,0.6180172860622406,0.8199316561222076,0.7068048715591431,0.8023895223935446,0.7931244075298309,0.8134188652038574,1,0,0.17510712146759033,0.0
4,zoom_out_slide,0,0,0,0,0,1,1,1,0,0,0.6670108437538147,0.8065770864486694,0.8073394099871317,0.7991069952646891,0.8738165497779846,0.8110022246837616,1,0,0.20680570602416992,0.0
5,zoom_out_slide,0,0,0,0,0,1,1,1,0,0,0.6614826619625092,0.8317781984806061,0.8157609303792318,0.820853590965271,0.8772292137145996,0.8358508050441742,1,0,0.21574655175209045,0.0
