instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,rotate_down,0,0,0,0,0,0,1,1,1,1,0.5394738912582397,0.7280776500701904,0.7328026294708252,0.6949303944905599,0.8405795693397522,0.7317293882369995,1,0,0.30110567808151245,0.0
2,rotate_down,0,0,0,0,0,0,1,1,1,1,0.5290773808956146,0.7900998890399933,0.6877776384353638,0.7458967963854471,0.8405576348304749,0.7657534778118134,1,0,0.31148025393486023,0.0
3,rotate_down,0,0,0,0,0,0,1,1,1,1,0.538349449634552,0.813067764043808,0.7480053305625916,0.7845008770624796,0.847804993391037,0.8152711391448975,1,0,0.309455543756485,0.0
4,rotate_down,0,0,0,0,0,0,1,1,1,1,0.5244912505149841,0.8374985456466675,0.6986780961354574,0.7853926618893942,0.8077108860015869,0.8186255097389221,1,0,0.2832196354866028,0.0
5,rotate_down,0,0,0,0,0,0,1,1,1,1,0.5259143114089966,0.8508057296276093,0.6849702199300131,0.7807079553604126,0.8394059836864471,0.8066052794456482,1,0,0.31349167227745056,0.0
