instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,zoom_out,0,0,0,0,0,1,1,1,1,1,0.5847896933555603,0.7290504276752472,0.7245218952496847,0.7116289536158243,0.8567620515823364,0.7390309572219849,1,0,0.2719723582267761,0.0
2,zoom_out,0,0,0,0,0,1,1,1,1,1,0.5209248661994934,0.7294766902923584,0.7687859932581583,0.7265500028928121,0.84331414103508,0.7531934380531311,1,0,0.32238927483558655,0.0
3,zoom_out,0,0,0,0,0,1,1,1,1,1,0.5133519470691681,0.7300215661525726,0.7158355514208475,0.7188098430633545,0.7882491052150726,0.7303089201450348,1,0,0.27489715814590454,0.0
4,zoom_out,0,0,0,0,0,1,1,1,1,1,0.5815020203590393,0.762420266866684,0.6372780005137125,0.730315645535787,0.8178437352180481,0.7470945715904236,1,0,0.2363417148590088,0.0
5,next_slide,0,0,0,0,0,1,0,0,0,0,0.661901444196701,0.7267438769340515,0.7131174802780151,0.7210504015286764,0.8909932672977448,0.7199013233184814,1,0,0.2290918231010437,0.0
6,next_slide,0,0,0,0,0,1,0,0,0,0,0.6157131493091583,0.7144788801670074,0.8185331424077352,0.6941115657488505,0.9243647456169128,0.7008066177368164,1,0,0.3086515963077545,0.0
7,next_slide,0,0,0,0,0,1,0,0,0,0,0.5422133207321167,0.689884215593338,0.8147565523783366,0.6869029998779297,0.9106072783470154,0.6988976895809174,1,0,0.3683939576148987,0.0
8,next_slide,0,0,0,0,0,1,0,0,0,0,0.5302373766899109,0.7083460986614227,0.743954618771871,0.7386918862660726,0.8845449090003967,0.7569237649440765,1,0,0.35430753231048584,0.0
9,next_slide,0,0,0,0,0,1,0,0,0,0,0.5213187634944916,0.7246461808681488,0.7632326682408651,0.7258382042249044,0.8847038745880127,0.7355680763721466,1,0,0.3633851110935211,0.0
